58,创新中路,培元新苑,3室1厅,距13号线真北路站800米,约9㎡,5楼,NaN,900
59,创新中路,培元新苑,3室1厅,NaN,约13㎡,3楼,NaN,1746
60,创新中路,培元新苑,3室1厅,距10号线航中路站750米,约15㎡,16楼,独立阳台,1200
61,上海儿童医学中心,中福公寓,4室1厅,NaN,约13㎡,24楼,NaN,1800
62,张江路,申城佳苑三期B块,3室1厅,距6号线上海儿童医学中心站1200米,约13㎡,13楼,NaN,1746
63,张江路,申城佳苑三期B块,3室1厅,NaN,约13㎡,11楼,NaN,1746
64,龙漕路,周家湾小区,3室1厅,距13号线张江路站1300米,约15㎡,2楼,NaN,2746
65,龙漕路,周家湾小区,3室1厅,NaN,约15㎡,2楼,NaN,2906
66,莘庄,华丽家园,4室1厅,距13号线张江路站1300米,约17㎡,1楼,NaN,1470
67,张江路,申城佳苑三期B块,4室1厅,NaN,约12㎡,9楼,NaN,1606
68,长江南路,美岸栖庭（高层）,3室1厅,"距3号线,12号线龙漕路站650米",约21㎡,2楼,NaN,1760
69,张江路,申城佳苑三期B块,4室1厅,NaN,约12㎡,13楼,NaN,1606
70,张江路,申城佳苑三期B块,4室1厅,"距3号线,12号线龙漕路站650米",约19㎡,13楼,独立阳台,1906
71,淞发路,淞南三村,2室1厅,NaN,约18㎡,4楼,独立阳台,2506
72,淞发路,淞南三村,2室1厅,距5号线春申路站800米,约14㎡,4楼,NaN,2306
73,绿川新村,鹏宏苑,3室1厅,NaN,约18㎡,4楼,NaN,2206
74,张江路,申城佳苑三期B块,3室1厅,距13号线张江路站1300米,约16㎡,13楼,独立阳台,1876
75,张江路,申城佳苑三期B块,3室1厅,NaN,约13㎡,13楼,NaN,1746
76,锦绣路,莲业新村,3室1厅,距3号线长江南路站450米,约23㎡,5楼,独立阳台,2406
77,锦绣路,莲业新村,3室1厅,NaN,约11㎡,5楼,NaN,1846
78,上海南站,汇京佳丽苑,3室1厅,距13号线张江路站1300米,约13㎡,8楼,NaN,1990
79,御桥,地杰国际城f欧香四季,4室1厅,NaN,约16㎡,1楼,NaN,2246
80,张江路,申城佳苑三期B块,4室1厅,距13号线张江路站1300米,约18㎡,5楼,独立阳台,1906
81,张江路,申城佳苑三期B块,4室1厅,NaN,约9㎡,5楼,NaN,1506
82,张江路,申城佳苑三期B块,4室1厅,距13号线张江路站1300米,约18㎡,11楼,独立阳台,1906
83,张江路,申城佳苑三期B块,4室1厅,NaN,约20㎡,10楼,独立卫生间独立淋浴,2306
84,张江路,申城佳苑三期B块,4室1厅,距13号线张江路站1300米,约19㎡,10楼,独立阳台,1946
85,张江路,申城佳苑三期B块,4室1厅,NaN,约17㎡,5楼,独立阳台,1906
86,张江路,申城佳苑三期B块,4室1厅,距13号线张江路站1300米,约10㎡,5楼,NaN,1576
87,张江路,申城佳苑三期B块,3室1厅,NaN,约16㎡,3楼,独立阳台,1876
88,北洋泾路,博山小区,2室1厅,距13号线张江路站1300米,约15㎡,17楼,独立阳台,3206
89,北洋泾路,博山小区,2室1厅,NaN,约16㎡,17楼,NaN,3276
90,绿川新村,鹏丰苑,3室1厅,距13号线张江路站1300米,约15㎡,14楼,NaN,2106
91,上海西站,万里真金苑,4室1厅,NaN,约22㎡,6楼,独立卫生间独立淋浴,2260
92,殷高西路,三花现代城,3室1厅,距13号线张江路站1300米,约18㎡,8楼,独立阳台,1660
93,航津路,富特五村,3室1厅,NaN,约19㎡,2楼,独立阳台,2106
94,张江路,申城佳苑三期B块,4室1厅,距13号线张江路站1300米,约18㎡,11楼,独立阳台,1946
95,张江路,申城佳苑三期B块,3室1厅,NaN,约13㎡,15楼,NaN,1776
96,张江路,申城佳苑三期B块,3室1厅,距6号线北洋泾路站800米,约16㎡,15楼,独立阳台,1906
97,张江路,申城佳苑三期B块,3室1厅,NaN,约10㎡,15楼,NaN,1606
98,五莲路,金藤苑,4室1厅,距6号线北洋泾路站800米,约8㎡,4楼,NaN,1976
99,松江新城,鼎信公寓,4室1厅,NaN,约21㎡,2楼,独立卫生间独立淋浴,2106
100,李子园,大华颐和华城（公寓）,3室1厅,NaN,约20㎡,4楼,独立阳台,2406
101,张江路,申城佳苑三期B块,3室1厅,NaN,约13㎡,8楼,NaN,1776
102,张江路,申城佳苑三期B块,3室1厅,距13号线张江路站1300米,约16㎡,8楼,独立阳台,1906
103,张江路,申城佳苑三期B块,3室1厅,NaN,约10㎡,8楼,NaN,1606
104,张江路,申城佳苑三期B块,3室1厅,距13号线张江路站1300米,约13㎡,13楼,NaN,1776
105,张江路,申城佳苑三期B块,3室1厅,NaN,约10㎡,13楼,NaN,1606
106,宜山路,庆余公寓,3室1厅,距13号线张江路站1300米,约10㎡,3楼,NaN,2060
107,张江路,申城佳苑三期B块,3室1厅,NaN,约13㎡,10楼,NaN,1776
108,张江路,申城佳苑三期B块,3室1厅,距13号线张江路站1300米,约16㎡,10楼,独立阳台,1906
